시도,시군구,기관명,주소,전화번호,위도,경도
서울특별시,영등포구,중앙노인보호전문기관,서울특별시 영등포구 여의도동 국회대로 76가길 14 4층(한국가정법률상담소),02)3667-1389,37.5307127142664,126.924415670439
서울특별시,서초구,서울남부노인보호전문기관,서울특별시 서초구 남부순환로 2124,02)3472-1389,37.4749858710793,126.984374415887
서울특별시,강북구,서울북부노인보호전문기관,서울특별시 강북구 노해로 69 대성빌딩 2층(수유3동),02)921-1389,37.6417754418136,127.022158787455
서울특별시,은평구,서울서부노인보호전문기관,서울특별시 은평구 역말로10길 30-1,02)3157-6389,37.6092164023648,126.92381555244
서울특별시,강동구,서울동부노인보호전문기관,서울시 강동구 천호동 333-38번지 삼화빌딩 3층,02)470-1389,37.5442600513808,127.125196717634
부산광역시,동구,부산동부노인보호전문기관,부산광역시 동구 중앙대로 338 연합뉴스빌딩 5층,051)468-8850,35.1259210276119,129.046463971456
부산광역시,연제구,부산서부노인보호전문기관,"부산광역시 연제구 연제로 8번길 46, 제이에스빌 5층",051)867-9119,35.177688099514,129.079866529831
대구광역시,남구,대구남부노인보호전문기관,"대구광역시 남구 이천로 128, 3층",053)472-1389,35.8526691920142,128.598741632558
대구광역시,서구,대구북부노인보호전문기관,대구광역시 서구 달서로 284,053)357-1389,35.8867273989027,128.575486792221
인천광역시,남동구,인천노인보호전문기관,인천광역시 남동구 용천로 208 인천시사회복지관 204호,032)426-8792~4,37.4682452755922,126.714346587895
인천광역시,서구,인천서부노인보호전문기관,"인천광역시 서구 완정로 165번안길 12, 2층(왕길동)",032)569-0533,37.6004724200141,126.6587198904
광주광역시,남구,광주노인보호전문기관,광주광역시 남구 덕남길 7 빛고을노인건강타운체육관 1층,062)655-4155~7,35.0994196252406,126.895914495106
대전광역시,서구,대전노인보호전문기관,대전광역시 서구 문정로 170번길 103,042)472-1389,36.3497121523085,127.401168851431
울산광역시,중구,울산노인보호전문기관,"울산광역시 중구 다운로 121, 3층",052)265-1389,35.5634004697108,129.266341773336
경기도,수원시,경기도노인보호전문기관,"경기도 수원시 팔달구 인계로 101번길 1, 노인회관 4층",031)268-1389,37.2683479463373,127.0287160159
경기도,성남시,경기동부노인보호전문기관,"경기도 성남시 분당구 구미로11, 505호",031)736-1389,37.3384198138731,127.110594466367
경기도,의정부시,경기북부노인보호전문기관,"경기도 의정부시 용민로 104, 5층",031)821-1461,37.7386555747787,127.089422610155
경기도,부천시,경기서부노인보호전문기관,경기도 부천시 부일로 501 양촌빌딩 4층,032)683-1389,37.4856604606958,126.78591310314
경기도,고양시,경기북서부노인보호전문기관,"경기도 고양시 덕양구 중앙로 559 그랑프리프라자, 406호",031)978-1389,37.6235392292613,126.834768940681
강원도,춘천시,강원도노인보호전문기관,강원도 춘천시 동면 소양강로 110번지 2층,033)253-1389,37.896987976325,127.749960067305
강원도,강릉시,강원동부노인보호전문기관,"강원도 강릉시 율곡로 2954, 3층",033)655-1389,37.7662864085145,128.891869104019
강원도,원주시,강원남부노인보호전문기관,강원도 원주시 중앙로 170 새한빌딩 2층,033)744-1389,37.3526922273966,127.948424931385
충청북도,청주시,충북노인보호전문기관,충청북도 청주시 흥덕구 1순환로 438번길 39-17(충북재활의원 3층),043)259-8120~2,36.6535042313331,127.466757505751
충청북도,충주시,충북북부노인보호전문기관,충청북도 충주시 예성로 76,043)846-1380~2,36.9639059712929,127.933600575009
충청남도,아산시,충남노인보호전문기관,충청남도 아산시 번영로206번길 42,041)534-1389,36.7809691894368,127.012075884806
충청남도,논산시,충남남부노인보호전문기관,충청남도 논산시 시민로 210번길 9-9 2층,041)734-1389,36.1860693520672,127.097748872457
전라북도,전주시,전북노인보호전문기관,전라북도 전주시 덕진구 팔달로 357-23,063)273-1389,35.8320267062226,127.137020466226
전라북도,김제시,전북서부노인보호전문기관,전북 김제시 하동1길 79 별관 노후설계종합지원센터 1층,063)542-1389,35.8147140601818,126.893204852157
전라남도,순천시,전남동부노인보호전문기관,전라남도 순천시 저전길 84,061)753-1389,34.9463464454061,127.484699323912
전라남도,무안군,전남서부노인보호전문기관,"전라남도 무안군 삼향읍 오룡5길 10, 전라남도노인회관 4층",061)281-2391,34.8175992250874,126.45894939499
경상북도,포항시,경북동부노인보호전문기관,경상북도 포항시 북구 삼흥로 411 기쁨의 복지관B102,054)248-1389,36.0952751882872,129.372568384416
경상북도,예천군,경북북부노인보호전문기관,경상북도 예천군 예천읍 충효로 424-21,054)655-1389,36.660720211285,128.466539485021
경상북도,김천시,경북서부노인보호전문기관,경북 김천시 아포읍 아포대로 981-8,054)436-1390,36.1582265409872,128.236599613197
경상북도,경산시,경북남부노인보호전문기관,경상북도 경산시 진량읍 대구대로 218 3층,053)716-1389,35.8969917319661,128.84658829256
경상남도,창원시,경남노인보호전문기관,"경상남도 창원시 마산합포구 문화북4길 15(금강노인종합복지관, C동 1층)",055)222-1389,35.188368481872,128.558798605644
경상남도,진주시,경남서부노인보호전문기관,경상남도 진주시 문산읍 월아산로 1098 2층,055)754-1389,35.1689534672433,128.162549944394
제주특별자치도,제주시,제주노인보호전문기관,제주특별자치도 제주시 관덕로7길 3,064)757-3400,33.5137815048905,126.522870409184
제주특별자치도,서귀포시,제주서귀포시노인보호전문기관,제주특별자치도 서귀포시 서호남로 29 2층,064)763-1999,33.2505508871555,126.515554629472
